method,K,run,seed,covariance_type,silhouette,calinski_harabasz,davies_bouldin,aic,bic,n_iterations,converged,avg_max_membership,pct_ambiguous_0_70,cluster_sizes
gmm,5,3,3503,tied,0.1233140214599069,8988.947059370867,2.3181758755649335,-11708635.40845371,-11699148.750894582,15,True,0.9967573764899116,0.002018594522154284,"[22378, 51619, 16195, 25122, 4076]"
gmm,5,4,3504,tied,0.11135859142276987,10236.594514788238,2.235461201399018,-10428573.137651352,-10419086.480092224,8,True,0.9981022976358516,0.0009381020185945222,"[19076, 7617, 36368, 38627, 17702]"
gmm,5,5,3505,tied,0.1233140214599069,8988.947059370867,2.3181758755649335,-11708635.41414328,-11699148.75658415,15,True,0.9967574086535977,0.002018594522154284,"[22378, 51619, 25122, 16195, 4076]"
gmm,6,1,3601,tied,0.10745361495910707,9169.427134238875,2.3464637245006403,-10352093.841470996,-10342219.577882893,24,True,0.9743184178185007,0.03412346092637574,"[26125, 2821, 6473, 11424, 44818, 27729]"
gmm,6,2,3602,tied,0.13466283663445744,8362.955118143944,2.1371677855643996,-13164717.594547616,-13154843.330959514,6,True,0.9999999999971773,0.0,"[56329, 5490, 22357, 1817, 19811, 13586]"
gmm,6,3,3603,tied,0.14406611396977564,8488.751844697934,2.207481602156573,-10945720.369738825,-10935846.106150722,13,True,0.9985791500991451,0.0015662953346176397,"[3530, 23755, 14587, 54260, 8630, 14628]"
gmm,6,4,3604,tied,0.15674455328511483,9533.645471426269,2.140077276556238,-11346187.867620977,-11336313.604032874,12,True,0.9999174342863727,1.6751821760616466e-05,"[4066, 11901, 52586, 22683, 14587, 13567]"
gmm,6,5,3605,tied,0.1234547824564074,7501.7838666230045,2.2493542851310733,-11909098.010304255,-11899223.746716153,26,True,0.9991622995346048,0.001289890275567468,"[23937, 1178, 47551, 28607, 14587, 3530]"
gmm,7,1,3701,tied,0.1483912832295936,9283.899238204469,2.1002400500438734,-11482078.851622675,-11471816.9820056,13,True,0.9968317789134683,0.0015327916910964068,"[4620, 40358, 21036, 22684, 12587, 3518, 14587]"
gmm,7,2,3702,tied,0.14688765852524302,8322.286880750351,2.067571709273692,-11931218.66052994,-11920956.790912865,8,True,0.999999974907203,0.0,"[5156, 56273, 17351, 14587, 2008, 10448, 13567]"
gmm,7,3,3703,tied,0.1472611572404279,8320.55352838508,2.2222640429347926,-11553422.527586168,-11543160.657969093,17,True,0.9995430898811493,0.0005444342072200352,"[13567, 51124, 2087, 14587, 11896, 4961, 21168]"
gmm,7,4,3704,tied,0.15367123165061775,7711.459843926521,2.6403550172541537,-11964175.790083088,-11953913.920466013,17,True,0.9999999183340855,0.0,"[19425, 773, 14587, 4561, 52435, 15680, 11929]"
gmm,7,5,3705,tied,0.11259724695723651,7945.090585454471,2.2463303266524393,-13124378.964272125,-13114117.09465505,10,True,0.995522175896784,0.001365273473490242,"[13586, 1636, 32108, 17711, 5295, 11922, 37132]"
gmm,8,1,3801,tied,0.145571627423649,8725.257062371486,2.0847868755299377,-11959174.544498513,-11948525.068852464,8,True,0.9956826188644909,0.0004522991875366446,"[12587, 14587, 17686, 38587, 17351, 6136, 10448, 2008]"
gmm,8,2,3802,tied,0.14145437908421507,8378.423441873585,2.1223448321246874,-11614705.652851148,-11604056.177205099,11,True,0.9970925236858156,0.0019097076807102773,"[2223, 21192, 1872, 40134, 14587, 13567, 20854, 4961]"
gmm,8,3,3803,tied,0.12433058588884716,7873.960780051089,2.1185882079694407,-11544661.133740382,-11534011.658094333,9,True,0.9956568275903805,0.00041041963313510346,"[14587, 37102, 17685, 18530, 1634, 10448, 2053, 17351]"
gmm,8,4,3804,tied,0.14374439457527652,7303.145129430749,2.3018610688153167,-12751212.158018274,-12740562.682372225,17,True,0.9995461145542656,0.0005444342072200352,"[12587, 2087, 21168, 14587, 980, 51124, 11896, 4961]"
